language,max_num_seqs,jpt,steady_state_duration,completed
bod_Tibt,16,0.8411275095847996,9488.29329419136,900
bod_Tibt,32,0.7164948505271416,7357.865145921707,900
bod_Tibt,64,0.7457378602627602,7735.368588924408,900
bod_Tibt,128,0.7291508620126821,6733.121035337448,900
bod_Tibt,256,0.754635527715011,3799.075182199478,900
bod_Tibt,512,0.7894637631811945,8653.189111232758,1800
eng_Latn,16,0.4344009926706462,264.81867003440857,900
eng_Latn,32,0.2610225332037997,143.46646547317505,900
eng_Latn,64,0.16906471689867092,86.05170106887817,900
eng_Latn,128,0.12443343916066298,61.14186120033264,900
eng_Latn,256,0.10538537611760339,43.792046546936035,900
eng_Latn,512,0.10088847835374921,86.6899528503418,1800
fra_Latn,16,0.46762980784454666,404.8314974308014,900
fra_Latn,32,0.2805968538894285,228.63898038864136,900
fra_Latn,64,0.1860370067314435,141.85513401031494,900
fra_Latn,128,0.13428101000877768,100.11454916000366,900
fra_Latn,256,0.11596949223483415,74.9853584766388,900
fra_Latn,512,0.11621189099798669,149.2649576663971,1800
pbt_Arab,16,0.9549833111393263,11741.601143360138,900
pbt_Arab,32,0.8946454501099654,10204.580470323563,900
pbt_Arab,64,0.9125876958132035,10823.997385025024,900
pbt_Arab,128,0.8829509570125428,9201.187498807907,900
pbt_Arab,256,0.8634178147363601,6914.875208377838,900
pbt_Arab,512,0.9452852874706772,11193.720365524292,1587
rus_Cyrl,16,0.4740421038604476,680.174008846283,900
rus_Cyrl,32,0.273942394626132,328.5071427822113,900
rus_Cyrl,64,0.18246748837592333,205.4218053817749,900
rus_Cyrl,128,0.1321697147402491,143.24884605407715,900
rus_Cyrl,256,0.11580217369151795,113.20460033416748,900
rus_Cyrl,512,0.12712250831055757,232.92187666893005,1800
shn_Mymr,16,0.7693033458224718,11169.786440134048,900
shn_Mymr,32,0.6547755609829868,8999.944595098495,900
shn_Mymr,64,0.6844561467478735,9442.69803404808,900
shn_Mymr,128,0.6531966827838778,7911.426302909851,900
shn_Mymr,256,0.7091709300944685,4995.606606006622,900
shn_Mymr,512,0.7121476959717346,9617.064867258072,1800
tir_Ethi,16,0.8767451270964166,11601.704795122147,900
tir_Ethi,32,0.7864153077942585,8687.501196861267,900
tir_Ethi,64,0.7578384098406973,7566.966945171356,900
tir_Ethi,128,0.7381726737355929,6803.920215606689,900
tir_Ethi,256,0.8115955388633462,6896.5610365867615,900
tir_Ethi,512,0.8144149310900562,8802.869797468185,1800
zho_Hans,16,0.4247877357968403,571.6625344753265,900
zho_Hans,32,0.2667491949517495,319.1526691913605,900
zho_Hans,64,0.17362936745919472,190.5712649822235,900
zho_Hans,128,0.12247993105912046,128.95812106132507,900
zho_Hans,256,0.10246770445803213,97.21758317947388,900
zho_Hans,512,0.10555829628497777,190.8044204711914,1800
