language,steady_energy_per_token_J,steady_energy_J,steady_state_duration,total_output_tokens,total_input_tokens,completed,duration,whole_gpu_energy_J
acm_Arab,0.42719630862589303,37079.357999801636,124.51773452758789,114218,1110576,900,197.47250247001648,54985.56100010872
afr_Latn,0.41639676113411533,38774.450000047684,130.20348072052002,117549,776094,900,192.34068250656128,56757.49499988556
als_Latn,0.477176698597525,45179.56699991226,151.29115653038025,156702,1031264,900,277.7021601200104,81984.7990000248
amh_Ethi,0.5985952400129355,223015.0370001793,749.3866469860077,813531,1713224,900,2527.842156648636,731773.3439998627
apc_Arab,0.4095907457009729,34867.641000032425,117.04842829704285,106814,744173,900,167.5315489768982,49427.37199997902
arb_Arab,0.41784795162580957,36901.823999881744,123.823326587677,112129,713718,900,187.334698677063,55219.27099990845
ars_Arab,0.41591220477072566,35747.65400004387,119.98245096206665,110157,707884,900,184.44874691963196,54328.299999952316
ary_Arab,0.479133011653901,64544.007999897,216.23180603981018,322498,1449718,900,2197.917368888855,612575.0320000648
arz_Arab,0.3904900613046567,37836.144000053406,127.05471301078796,121900,731631,900,175.91512823104858,52090.47699999809
asm_Beng,0.6662109979313444,134272.82800006866,450.4444501399994,407477,2366027,900,964.8699004650116,286152.04399991035
azj_Latn,0.48470024279596513,61886.52700018883,207.35928583145142,220114,1072379,900,401.5356044769287,118711.02399992943
bam_Latn,1.841332113366092,850255.35800004,3028.814035177231,1067835,995502,900,8690.524948835373,2408358.9869999886
ben_Beng,0.6452126987212016,133120.2840001583,446.7542381286621,402677,2303472,900,929.2458901405334,274438.27900004387
bod_Tibt,27.471999883651733,27.471999883651733,0.007723808288574219,2091358,1170409,226,21600.71479701996,6070383.805999994
bul_Cyrl,0.45353395850306094,50056.542999982834,167.70493817329407,188857,1030079,900,305.9075963497162,90368.59500002861
cat_Latn,0.41707698746533706,36372.86699986458,122.02893590927124,109500,763915,900,178.71829295158386,52699.986000061035
ceb_Latn,0.42470587977109264,48373.575000047684,162.2140429019928,161305,896630,900,1307.9317157268524,362573.65700006485
ces_Latn,0.47345981187201774,46658.991000175476,156.33925366401672,166789,975935,900,283.12890696525574,83571.57299995422
ckb_Arab,0.5261971920692738,155314.46799993515,520.7962791919708,584269,1627058,900,1977.998319387436,563740.0759999752
dan_Latn,0.37295458476699017,39672.671000003815,133.26457715034485,134076,791738,900,195.33441710472107,57435.90799999237
deu_Latn,0.4180645494340765,33607.37299990654,112.8449935913086,101170,686571,900,152.5624442100525,45192.71399998665
ell_Grek,0.6425073901206,102547.39200019836,343.87148690223694,324236,2019061,900,711.831481218338,211538.78999996185
eng_Latn,0.31223190805379686,19423.947000026703,65.58480834960938,75862,495757,900,92.28357219696045,27088.40700006485
est_Latn,0.48328189277808004,39402.456000089645,132.0844316482544,152610,829651,900,1287.9577844142914,357101.7660000324
eus_Latn,0.47738308028811083,39302.94900012016,131.83141136169434,136195,847860,900,227.68707489967346,67271.56399989128
fin_Latn,0.4966101092752592,34946.949999809265,117.19615268707275,117433,834273,900,191.75900506973267,56981.578999996185
fra_Latn,0.41464702178110907,32265.757999897003,108.86704969406128,98653,708853,900,166.53747153282166,48657.59799981117
fuv_Latn,0.0,0.0,0.007776737213134766,1927462,261138,202,21600.848667383194,5934740.549000025
gaz_Latn,0.5492704412313376,229240.7650001049,768.5202894210815,979806,1676076,900,4457.837091207504,1262288.2569999695
grn_Latn,0.4161119438816829,110927.12199997902,371.63179421424866,476378,1309656,900,679.2166922092438,201970.09399986267
guj_Gujr,0.7667380944289186,180582.1559998989,606.3133096694946,512161,3011400,900,1338.4954903125763,397442.00900006294
hat_Latn,0.4424249630351692,43386.40400004387,145.40948677062988,202119,829129,900,1347.609738111496,366476.7649998665
hau_Latn,0.44042043315685725,57325.5640001297,192.05702471733093,369178,966400,900,2376.149657011032,657191.246999979
