language,steady_energy_per_token_J,steady_energy_J,steady_state_duration,total_output_tokens,total_input_tokens,completed,duration,whole_gpu_energy_J
acm_Arab,0.19445124571263625,27605.66000008583,94.55153250694275,233790,953501,900,750.6738729476929,196553.33400011063
afr_Latn,0.1875409633354061,41707.985000014305,142.73253464698792,336995,773285,900,866.9276094436646,230748.23699998856
als_Latn,0.19742610327694748,63534.483999967575,216.84850883483887,1417652,1023034,900,4811.287040472031,1339254.8910000324
amh_Ethi,0.6059456366318947,531417.9589999914,1812.8456399440765,1590719,3140216,900,3454.3486886024475,995021.9279999733
apc_Arab,0.19291018594316453,24743.625,84.63466691970825,170121,741142,900,143.53969883918762,40719.86600005627
arb_Arab,0.19701214176774695,25442.34500002861,86.70490550994873,168291,720680,900,141.7972412109375,40564.011999964714
ars_Arab,0.19592405760868634,26309.858000040054,90.01561617851257,192398,725522,900,707.9607374668121,186276.66599988937
ary_Arab,0.20175999369914602,48669.958000063896,166.4116711616516,633617,1229457,900,1724.5570704936981,481600.7120000124
arz_Arab,0.20713577264097324,22032.825000047684,75.35412812232971,141765,729097,900,125.86203622817993,35740.82099997997
asm_Beng,0.3405790748014255,232236.10300004482,778.5690474510193,963354,2644948,900,1538.4659142494202,443328.80900001526
azj_Latn,0.20918787905144728,43356.489000082016,148.02943778038025,301167,1035927,900,777.7999784946442,206529.7380000353
bam_Latn,0.23079726522940144,127603.19200003147,430.3775677680969,1018074,1180458,900,2200.6627385616302,622261.0310000181
ben_Beng,0.33017684464189406,157016.58899998665,526.3581023216248,737326,2585280,900,1441.5860059261322,409503.8519999981
bod_Tibt,1.0245105402343317,1325710.4919999838,4472.93510890007,2799033,6728183,900,9847.139307022095,2894942.425999999
bul_Cyrl,0.19314273586030212,43224.958000063896,147.57550597190857,291862,955665,900,295.7562007904053,83089.09000003338
cat_Latn,0.19326648251019027,26376.62300002575,90.32484555244446,181282,763190,900,179.4333565235138,50168.39499998093
ceb_Latn,0.2025184107209637,34303.580999970436,117.56622385978699,361480,891354,900,1000.4067492485046,271283.4349999428
ces_Latn,0.1892556113695222,27352.735000014305,93.56593203544617,205974,736146,900,716.3752489089966,190189.87300002575
ckb_Arab,0.30455546387715715,59426.99399995804,200.13467025756836,495407,1810559,900,1323.17818069458,369577.6289999485
dan_Latn,0.1772290202125334,40009.983000040054,137.03924298286438,317195,785413,900,756.6620631217957,201013.04100000858
deu_Latn,0.18599919453432037,30712.55899989605,105.20975160598755,212525,701496,900,159.23078083992004,45693.00999999046
ell_Grek,0.21652078483904552,40741.85000002384,139.7912302017212,395202,958076,900,1046.2508072853088,283696.1180000305
eng_Latn,0.16395480592495013,21229.851999998093,73.03502178192139,163235,494730,900,115.42206311225891,32667.34799993038
est_Latn,0.2848026597003925,13192.34399998188,44.816848039627075,122742,825680,900,685.2093751430511,173573.21100008488
eus_Latn,0.19145977084038696,48508.43899989128,165.70443415641785,538358,840232,900,1306.7187836170197,364897.60499989986
fin_Latn,0.26113367533548815,17714.264000058174,60.190685987472534,164600,830376,900,713.2252011299133,187949.63399994373
fra_Latn,0.1871301714907874,32168.424999952316,109.89678192138672,216793,722357,900,198.75076031684875,56238.449000000954
